<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVTK,D,20180727,000000,913.2000000,920.9000000,908.8000000,920.0000000,481.890
NVTK,D,20180730,000000,915.0000000,917.5000000,907.8000000,907.8000000,594.140
NVTK,D,20180731,000000,906.2000000,929.9000000,902.3000000,924.4000000,1.169.010
NVTK,D,20180801,000000,927.0000000,938.0000000,920.4000000,930.2000000,731.420
NVTK,D,20180802,000000,930.1000000,937.9000000,925.7000000,929.4000000,859.560
NVTK,D,20180803,000000,929.0000000,941.5000000,915.6000000,924.9000000,955.860
NVTK,D,20180806,000000,926.5000000,938.3000000,921.2000000,926.0000000,486.860
NVTK,D,20180807,000000,926.1000000,939.9000000,919.2000000,939.9000000,546.830
NVTK,D,20180808,000000,935.7000000,939.0000000,920.0000000,923.6000000,1.380.440
NVTK,D,20180809,000000,923.6000000,937.0000000,908.0000000,933.0000000,1.581.910
NVTK,D,20180810,000000,933.5000000,943.8000000,930.2000000,939.5000000,1.177.870
NVTK,D,20180813,000000,938.4000000,972.5000000,938.4000000,959.1000000,1.383.780
NVTK,D,20180814,000000,964.7000000,988.8000000,957.1000000,987.6000000,1.412.930
NVTK,D,20180815,000000,987.5000000,988.6000000,961.2000000,974.0000000,1.015.650
NVTK,D,20180816,000000,973.1000000,978.8000000,962.3000000,978.8000000,791.440
NVTK,D,20180817,000000,976.5000000,983.6000000,968.2000000,977.0000000,661.910
NVTK,D,20180820,000000,979.5000000,986.9000000,976.0000000,981.0000000,469.500
NVTK,D,20180821,000000,983.7000000,987.5000000,973.2000000,982.0000000,673.170
NVTK,D,20180822,000000,985.8000000,1.000.0000000,984.6000000,998.0000000,986.960
NVTK,D,20180823,000000,1.000.3000000,1.003.9000000,987.8000000,995.0000000,1.129.020
NVTK,D,20180824,000000,998.3000000,1.018.7000000,988.3000000,1.013.1000000,943.030
NVTK,D,20180827,000000,1.017.5000000,1.086.4000000,1.017.1000000,1.070.0000000,1.544.810
NVTK,D,20180828,000000,1.069.6000000,1.075.5000000,1.060.0000000,1.067.0000000,1.108.760
NVTK,D,20180829,000000,1.066.1000000,1.115.0000000,1.063.7000000,1.111.8000000,1.877.990
NVTK,D,20180830,000000,1.116.0000000,1.119.5000000,1.092.9000000,1.099.5000000,1.487.280
NVTK,D,20180831,000000,1.096.0000000,1.099.0000000,1.078.4000000,1.083.0000000,1.072.040
