<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PHOR,D,20180625,000000,2.301.0000000,2.336.0000000,2.288.0000000,2.303.0000000,19.095
PHOR,D,20180626,000000,2.308.0000000,2.333.0000000,2.271.0000000,2.293.0000000,17.212
PHOR,D,20180627,000000,2.300.0000000,2.304.0000000,2.250.0000000,2.264.0000000,33.899
PHOR,D,20180628,000000,2.269.0000000,2.292.0000000,2.257.0000000,2.280.0000000,17.777
PHOR,D,20180629,000000,2.284.0000000,2.291.0000000,2.264.0000000,2.270.0000000,13.251
PHOR,D,20180702,000000,2.275.0000000,2.290.0000000,2.271.0000000,2.290.0000000,12.215
PHOR,D,20180703,000000,2.282.0000000,2.289.0000000,2.260.0000000,2.272.0000000,11.800
PHOR,D,20180704,000000,2.272.0000000,2.293.0000000,2.266.0000000,2.268.0000000,8.789
PHOR,D,20180705,000000,2.275.0000000,2.291.0000000,2.267.0000000,2.277.0000000,11.593
PHOR,D,20180706,000000,2.277.0000000,2.346.0000000,2.268.0000000,2.320.0000000,31.905
PHOR,D,20180709,000000,2.320.0000000,2.372.0000000,2.316.0000000,2.359.0000000,29.539
PHOR,D,20180710,000000,2.363.0000000,2.390.0000000,2.347.0000000,2.349.0000000,15.374
PHOR,D,20180711,000000,2.345.0000000,2.393.0000000,2.282.0000000,2.325.0000000,50.543
PHOR,D,20180712,000000,2.314.0000000,2.321.0000000,2.277.0000000,2.290.0000000,15.825
PHOR,D,20180713,000000,2.309.0000000,2.335.0000000,2.291.0000000,2.326.0000000,23.241
PHOR,D,20180716,000000,2.318.0000000,2.335.0000000,2.295.0000000,2.310.0000000,18.821
PHOR,D,20180717,000000,2.310.0000000,2.342.0000000,2.285.0000000,2.318.0000000,22.218
PHOR,D,20180718,000000,2.333.0000000,2.367.0000000,2.333.0000000,2.343.0000000,21.215
PHOR,D,20180719,000000,2.334.0000000,2.363.0000000,2.315.0000000,2.328.0000000,39.786
PHOR,D,20180720,000000,2.303.0000000,2.368.0000000,2.286.0000000,2.300.0000000,31.769
PHOR,D,20180723,000000,2.303.0000000,2.337.0000000,2.291.0000000,2.303.0000000,16.114
PHOR,D,20180724,000000,2.294.0000000,2.315.0000000,2.281.0000000,2.286.0000000,15.930
PHOR,D,20180725,000000,2.291.0000000,2.302.0000000,2.270.0000000,2.276.0000000,15.991
PHOR,D,20180726,000000,2.279.0000000,2.288.0000000,2.261.0000000,2.266.0000000,19.737
PHOR,D,20180727,000000,2.278.0000000,2.285.0000000,2.258.0000000,2.262.0000000,30.450
PHOR,D,20180730,000000,2.260.0000000,2.277.0000000,2.253.0000000,2.272.0000000,17.464
PHOR,D,20180731,000000,2.264.0000000,2.295.0000000,2.257.0000000,2.284.0000000,17.131
PHOR,D,20180801,000000,2.294.0000000,2.304.0000000,2.271.0000000,2.293.0000000,11.350
PHOR,D,20180802,000000,2.290.0000000,2.303.0000000,2.277.0000000,2.290.0000000,12.477
PHOR,D,20180803,000000,2.280.0000000,2.310.0000000,2.276.0000000,2.288.0000000,12.853
PHOR,D,20180806,000000,2.284.0000000,2.310.0000000,2.265.0000000,2.280.0000000,14.477
PHOR,D,20180807,000000,2.277.0000000,2.289.0000000,2.261.0000000,2.263.0000000,14.215
PHOR,D,20180808,000000,2.265.0000000,2.300.0000000,2.260.0000000,2.293.0000000,23.450
PHOR,D,20180809,000000,2.299.0000000,2.323.0000000,2.264.0000000,2.302.0000000,36.307
PHOR,D,20180810,000000,2.274.0000000,2.300.0000000,2.245.0000000,2.298.0000000,34.349
PHOR,D,20180813,000000,2.278.0000000,2.290.0000000,2.255.0000000,2.282.0000000,28.945
PHOR,D,20180814,000000,2.290.0000000,2.290.0000000,2.261.0000000,2.271.0000000,16.373
PHOR,D,20180815,000000,2.268.0000000,2.337.0000000,2.264.0000000,2.314.0000000,43.817
PHOR,D,20180816,000000,2.317.0000000,2.337.0000000,2.314.0000000,2.319.0000000,13.796
PHOR,D,20180817,000000,2.317.0000000,2.335.0000000,2.304.0000000,2.325.0000000,12.285
PHOR,D,20180820,000000,2.338.0000000,2.354.0000000,2.330.0000000,2.347.0000000,16.845
PHOR,D,20180821,000000,2.347.0000000,2.405.0000000,2.334.0000000,2.374.0000000,32.693
PHOR,D,20180822,000000,2.387.0000000,2.414.0000000,2.350.0000000,2.360.0000000,27.584
PHOR,D,20180823,000000,2.372.0000000,2.447.0000000,2.371.0000000,2.412.0000000,45.992
PHOR,D,20180824,000000,2.422.0000000,2.460.0000000,2.409.0000000,2.425.0000000,48.506
PHOR,D,20180827,000000,2.411.0000000,2.508.0000000,2.387.0000000,2.470.0000000,100.729
PHOR,D,20180828,000000,2.470.0000000,2.536.0000000,2.463.0000000,2.531.0000000,65.847
PHOR,D,20180829,000000,2.544.0000000,2.640.0000000,2.535.0000000,2.640.0000000,61.426
PHOR,D,20180830,000000,2.640.0000000,2.683.0000000,2.603.0000000,2.650.0000000,43.262
PHOR,D,20180831,000000,2.642.0000000,2.642.0000000,2.540.0000000,2.609.0000000,46.443
