<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20180704,000000,4.334.5000000,4.349.5000000,4.326.5000000,4.334.5000000,152.187
LKOH,D,20180705,000000,4.331.0000000,4.462.0000000,4.326.0000000,4.462.0000000,693.200
LKOH,D,20180706,000000,4.452.0000000,4.452.0000000,4.351.5000000,4.415.5000000,740.949
LKOH,D,20180709,000000,4.410.5000000,4.460.0000000,4.410.0000000,4.452.0000000,646.440
LKOH,D,20180710,000000,4.369.0000000,4.409.5000000,4.336.0000000,4.355.0000000,1.009.272
LKOH,D,20180711,000000,4.343.0000000,4.350.0000000,4.280.0000000,4.280.0000000,594.089
LKOH,D,20180712,000000,4.273.0000000,4.302.5000000,4.223.0000000,4.236.0000000,704.863
LKOH,D,20180713,000000,4.245.0000000,4.333.5000000,4.244.5000000,4.319.0000000,556.147
LKOH,D,20180716,000000,4.320.0000000,4.347.0000000,4.265.0000000,4.300.5000000,460.353
LKOH,D,20180717,000000,4.287.5000000,4.287.5000000,4.200.0000000,4.262.5000000,562.882
LKOH,D,20180718,000000,4.269.0000000,4.308.5000000,4.240.0000000,4.299.0000000,604.992
LKOH,D,20180719,000000,4.295.5000000,4.334.0000000,4.269.5000000,4.334.0000000,577.605
LKOH,D,20180720,000000,4.340.0000000,4.357.5000000,4.286.0000000,4.300.0000000,583.318
LKOH,D,20180723,000000,4.295.0000000,4.382.5000000,4.276.5000000,4.340.0000000,441.906
LKOH,D,20180724,000000,4.360.0000000,4.360.0000000,4.317.5000000,4.322.0000000,334.112
LKOH,D,20180725,000000,4.312.0000000,4.396.0000000,4.305.0000000,4.385.0000000,470.637
LKOH,D,20180726,000000,4.400.0000000,4.421.0000000,4.387.5000000,4.420.0000000,526.279
LKOH,D,20180727,000000,4.417.5000000,4.426.0000000,4.383.0000000,4.425.0000000,359.005
LKOH,D,20180730,000000,4.400.5000000,4.430.0000000,4.370.5000000,4.410.0000000,443.180
LKOH,D,20180731,000000,4.400.5000000,4.488.0000000,4.377.5000000,4.451.5000000,803.941
LKOH,D,20180801,000000,4.460.0000000,4.509.0000000,4.454.5000000,4.494.0000000,512.006
LKOH,D,20180802,000000,4.483.0000000,4.527.0000000,4.478.0000000,4.501.5000000,442.819
LKOH,D,20180803,000000,4.485.5000000,4.529.0000000,4.467.5000000,4.499.5000000,479.732
LKOH,D,20180806,000000,4.501.5000000,4.517.0000000,4.450.0000000,4.479.0000000,410.159
LKOH,D,20180807,000000,4.479.0000000,4.539.0000000,4.472.0000000,4.520.0000000,428.156
LKOH,D,20180808,000000,4.520.0000000,4.525.0000000,4.448.0000000,4.499.0000000,536.679
LKOH,D,20180809,000000,4.490.0000000,4.598.0000000,4.490.0000000,4.598.0000000,700.909
LKOH,D,20180810,000000,4.591.0000000,4.648.0000000,4.546.0000000,4.577.0000000,669.231
LKOH,D,20180813,000000,4.551.0000000,4.601.5000000,4.521.5000000,4.541.0000000,728.252
LKOH,D,20180814,000000,4.560.0000000,4.579.0000000,4.452.5000000,4.460.0000000,754.314
LKOH,D,20180815,000000,4.454.0000000,4.465.0000000,4.361.5000000,4.428.5000000,885.542
LKOH,D,20180816,000000,4.428.5000000,4.440.0000000,4.351.5000000,4.396.0000000,435.443
LKOH,D,20180817,000000,4.388.0000000,4.418.0000000,4.358.0000000,4.375.0000000,435.001
LKOH,D,20180820,000000,4.395.0000000,4.425.0000000,4.370.0000000,4.386.0000000,268.771
LKOH,D,20180821,000000,4.393.5000000,4.466.5000000,4.353.0000000,4.465.0000000,511.213
LKOH,D,20180822,000000,4.472.0000000,4.512.5000000,4.449.0000000,4.512.5000000,507.659
LKOH,D,20180823,000000,4.512.5000000,4.541.0000000,4.421.0000000,4.450.0000000,656.188
LKOH,D,20180824,000000,4.450.0000000,4.531.5000000,4.423.0000000,4.500.5000000,629.340
LKOH,D,20180827,000000,4.502.0000000,4.577.0000000,4.492.0000000,4.577.0000000,249.895
LKOH,D,20180828,000000,4.581.0000000,4.598.0000000,4.545.0000000,4.587.5000000,405.312
LKOH,D,20180829,000000,4.590.0000000,4.687.5000000,4.585.0000000,4.638.5000000,640.827
LKOH,D,20180830,000000,4.653.0000000,4.738.0000000,4.640.5000000,4.702.0000000,687.408
LKOH,D,20180831,000000,4.695.0000000,4.719.5000000,4.663.0000000,4.700.5000000,711.447
